player_name,team,position,born,gp,g,a,p,shots,toi_seconds
Connor McDavid,EDM,F,1997,75,33,95,128,267,1413
Leon Draisaitl,EDM,F,1995,75,41,73,114,218,1324
Evan Bouchard,EDM,D,1999,75,20,61,81,212,1414
Matthew Tkachuk,TOT,F,1997,79,29,50,79,220,1133
Carter Verhaeghe,FLA,F,1995,78,31,42,73,212,1142
Mikko Rantanen,TOT,F,1996,56,25,46,71,162,1277
Aleksander Barkov,FLA,F,1995,78,21,46,67,199,1278
Ryan Nugent-Hopkins,EDM,F,1993,75,20,47,67,143,1204
Zach Hyman,EDM,F,1992,68,35,25,60,233,1196
Sam Reinhart,FLA,F,1995,76,32,24,56,216,1284
Nathan MacKinnon,COL,F,1995,45,27,29,56,242,1366
Sam Bennett,FLA,F,1996,72,28,26,54,209,1078
Cale Makar,COL,D,1998,44,15,39,54,153,1608
Brad Marchand,TOT,F,1988,48,21,30,51,113,1087
Sebastian Aho,CAR,F,1997,55,20,30,50,145,1231
Roope Hintz,DAL,F,1996,57,20,28,48,129,1069
Anton Lundell,FLA,F,2001,77,12,34,46,124,969
Jason Robertson,DAL,F,1999,56,18,26,44,141,1114
Mika Zibanejad,NYR,F,1993,43,14,30,44,119,1247
Nikita Kucherov,TBL,F,1993,39,9,35,44,115,1262
Seth Jarvis,CAR,F,2002,55,19,24,43,130,1127
Jack Eichel,VGK,F,1996,40,10,33,43,124,1232
Evander Kane,EDM,F,1991,68,26,16,42,186,1038
Evan Rodrigues,TOT,F,1993,59,13,27,40,122,955
Adam Fox,NYR,D,1998,43,5,34,39,77,1503
Mitch Marner,TOR,F,1997,38,8,30,38,82,1362
Chris Kreider,NYR,F,1991,43,24,13,37,102,1162
Artturi Lehkonen,COL,F,1995,45,20,15,35,111,1154
Mark Stone,VGK,F,1992,39,18,17,35,80,1151
William Nylander,TOR,F,1996,35,16,19,35,125,1147
Auston Matthews,TOR,F,1997,36,13,22,35,145,1292
Miro Heiskanen,DAL,D,1999,53,9,26,35,113,1604
Tyler Seguin,DAL,F,1992,63,16,18,34,158,996
Eetu Luostarinen,FLA,F,1998,73,10,24,34,84,920
Devon Toews,COL,D,1994,44,8,26,34,79,1510
Corey Perry,TOT,F,1985,70,19,14,33,111,770
Artemi Panarin,NYR,F,1991,43,11,22,33,109,1217
Wyatt Johnston,DAL,F,2003,56,18,14,32,148,1139
Aaron Ekblad,FLA,D,1996,73,8,24,32,118,1409
Victor Hedman,TBL,D,1990,38,4,28,32,110,1479
Vincent Trocheck,TOT,F,1993,37,15,16,31,84,1219
Jamie Benn,DAL,F,1989,61,9,22,31,112,944
Valeri Nichushkin,COL,F,1995,37,22,8,30,115,1236
Ondrej Palat,TOT,F,1991,40,14,16,30,70,1021
Max Domi,TOT,F,1995,53,10,20,30,91,812
Steven Stamkos,TBL,F,1990,34,18,11,29,102,1147
Adrian Kempe,LAK,F,1996,24,15,14,29,106,1244
Jonathan Marchessault,VGK,F,1990,29,15,14,29,105,1064
Gustav Forsling,FLA,D,1996,78,7,22,29,139,1433
Andrei Svechnikov,CAR,F,2000,40,14,14,28,104,1056
Morgan Rielly,TOR,D,1994,38,11,17,28,75,1389
Brandon Montour,FLA,D,1994,55,11,16,27,139,1384
Thomas Harley,DAL,D,2001,56,5,22,27,82,1315
Gabriel Landeskog,COL,F,1992,25,12,14,26,66,1212
Kyle Connor,WPG,F,1996,23,11,15,26,90,1318
Martin Necas,TOT,F,1999,47,9,17,26,103,1076
Ivan Barbashev,TOT,F,1995,52,8,18,26,67,923
Jake Guentzel,TOT,F,1994,23,15,10,25,83,1279
William Karlsson,VGK,F,1993,40,14,11,25,71,1046
Mattias Ekholm,TOT,D,1990,48,7,18,25,86,1317
Joe Pavelski,DAL,F,1984,40,13,11,24,73,1088
Darnell Nurse,EDM,D,1995,73,7,17,24,135,1276
John Tavares,TOR,F,1990,38,13,10,23,120,1122
Ryan O'Reilly,TOT,F,1991,29,11,12,23,67,1261
Alexis Lafrenière,NYR,F,2001,43,10,13,23,82,904
Anze Kopitar,LAK,F,1987,24,6,17,23,59,1295
Jordan Martinook,CAR,F,1992,47,6,17,23,86,958
Vladimir Tarasenko,TOT,F,1991,43,14,8,22,98,880
Jake DeBrusk,BOS,F,1996,27,11,10,21,51,1032
Chandler Stephenson,VGK,F,1994,29,10,11,21,42,1091
Evgeny Dadonov,DAL,F,1989,51,8,13,21,71,799
Jaccob Slavin,CAR,D,1994,55,7,14,21,105,1388
Brett Kulak,EDM,D,1994,75,3,17,20,83,1117
David Pastrnak,BOS,F,1996,27,12,7,19,114,1190
Elias Lindholm,TOT,F,1994,25,10,9,19,59,1209
Phillip Danault,LAK,F,1993,24,7,12,19,46,1190
Jordan Staal,CAR,F,1988,55,6,13,19,95,1017
Pavel Buchnevich,STL,F,1995,19,4,15,19,36,1172
Dmitry Orlov,TOT,D,1991,39,2,17,19,57,1306
Kirill Kaprizov,MIN,F,1997,18,13,5,18,66,1308
Taylor Hall,TOT,F,1991,29,9,9,18,56,898
Mark Scheifele,WPG,F,1993,20,8,10,18,42,1163
Teuvo Teräväinen,CAR,F,1994,31,7,11,18,61,1062
Reilly Smith,VGK,F,1991,33,7,11,18,68,982
Josh Manson,COL,D,1991,43,7,11,18,86,1058
Kevin Fiala,TOT,F,1996,20,5,13,18,64,1156
Brent Burns,CAR,D,1985,41,4,14,18,106,1440
Shea Theodore,VGK,D,1995,39,3,15,18,79,1279
Nino Niederreiter,TOT,F,1992,37,9,8,17,71,949
Mason Marchment,TOT,F,1995,53,9,8,17,83,906
Anthony Cirelli,TBL,F,1997,39,7,10,17,66,1113
Ross Colton,TOT,F,1996,41,7,10,17,62,780
Viktor Arvidsson,TOT,F,1993,26,3,14,17,57,890
Alex Pietrangelo,VGK,D,1990,38,3,14,17,68,1397
David Perron,TOT,F,1988,18,11,5,16,51,1063
Brayden Point,TBL,F,1996,25,8,8,16,65,1210
Logan Stankoven,TOT,F,2003,34,8,8,16,60,948
Brandon Hagel,TBL,F,1998,37,6,10,16,67,1000
Matt Duchene,TOT,F,1991,41,6,10,16,58,1035
Anthony Duclair,TOT,F,1995,33,5,11,16,51,864
Ryan Hartman,MIN,F,1994,17,4,12,16,42,1070
Brady Skjei,CAR,D,1994,40,3,13,16,84,1335
Cody Ceci,TOT,D,1993,70,3,13,16,80,1203
Charlie McAvoy,BOS,D,1997,26,1,15,16,49,1523
Brett Howden,VGK,F,1998,40,9,6,15,52,826
Nazem Kadri,COL,F,1990,16,7,8,15,58,1041
Connor Brown,EDM,F,1994,39,7,8,15,41,830
Warren Foegele,TOT,F,1996,53,6,9,15,102,728
Nicolas Roy,VGK,F,1997,40,5,10,15,50,874
Nate Schmidt,TOT,D,1991,31,4,11,15,40,1019
Neal Pionk,WPG,D,1995,23,1,14,15,37,1470
Nick Paul,TBL,F,1995,39,10,4,14,78,1061
Stefan Noesen,TOT,F,1993,31,9,5,14,42,853
Matthew Knies,TOR,F,2002,27,8,6,14,50,1010
Adam Henrique,EDM,F,1990,39,8,6,14,49,865
Tyler Bertuzzi,TOT,F,1995,14,6,8,14,42,1095
Andrew Copp,NYR,F,1994,20,6,8,14,41,1188
Charlie Coyle,TOT,F,1992,34,5,9,14,52,1012
Yanni Gourde,TOT,F,1991,19,4,10,14,27,1097
Robert Thomas,STL,F,1999,19,4,10,14,28,1174
Johnny Gaudreau,CGY,F,1993,12,3,11,14,52,1173
Mikhail Sergachev,TBL,D,1998,31,3,11,14,39,1372
Sam Steel,TOT,F,1998,42,3,11,14,38,828
Jesperi Kotkaniemi,CAR,F,2000,54,3,11,14,76,807
Ryan Suter,TOT,D,1985,50,1,13,14,38,1238
Filip Chytil,NYR,F,1999,33,8,5,13,66,819
Mattias Janmark-Nylén,EDM,F,1992,52,7,6,13,40,704
Ryan McLeod,EDM,F,1999,52,7,6,13,65,836
Trevor Moore,LAK,F,1995,24,6,7,13,70,1115
Mike Amadio,TOT,F,1996,26,6,7,13,28,780
Frank Vatrano,NYR,F,1994,20,5,8,13,41,907
Mikael Granlund,TOT,F,1992,22,5,8,13,39,1095
Niko Mikkola,TOT,D,1996,65,5,8,13,54,1089
Claude Giroux,TOT,F,1988,16,4,9,13,32,1068
Brock Nelson,TOT,F,1991,18,4,9,13,35,1080
Justin Schultz,TOT,D,1990,20,4,9,13,23,939
Dylan Strome,WSH,F,1997,14,3,10,13,25,1094
Noah Hanifin,TOT,D,1997,30,3,10,13,76,1392
Brett Pesce,TOT,D,1994,36,3,10,13,72,1375
Ryan Lindgren,TOT,D,1998,47,3,10,13,47,1230
Brayden McNabb,VGK,D,1991,39,2,11,13,36,1207
Jordan Kyrou,STL,F,1998,19,10,2,12,50,986
Brock Boeser,VAN,F,1997,12,7,5,12,27,1218
Alexander Ovechkin,WSH,F,1985,20,6,6,12,57,1079
Mats Zuccarello,MIN,F,1987,18,4,8,12,32,1188
Quinton Byfield,LAK,F,2002,19,4,8,12,35,1017
Esa Lindell,DAL,D,1994,63,4,8,12,86,1383
J.T. Miller,VAN,F,1993,13,3,9,12,29,1286
Gabriel Vilardi,TOT,F,1999,21,3,9,12,43,1036
Jack Roslovic,TOT,F,1997,25,3,9,12,37,828
Shayne Gostisbehere,CAR,D,1993,30,3,9,12,48,1107
K'Andre Miller,NYR,D,2000,43,3,9,12,37,1381
Jacob Trouba,NYR,D,1994,43,2,10,12,90,1371
Pavel Zacha,BOS,F,1997,20,1,11,12,34,1072
Anthony DeAngelo,CAR,D,1995,23,1,11,12,44,1186
Bowen Byram,COL,D,2001,27,0,12,12,66,1201
Adam Lowry,WPG,F,1993,23,10,1,11,39,1014
